Ward,pop1951,roomsPerHouse,ppr
Shettleston and Tollcross,42609,2.63,1.47
Parkhead,21578,2.66,1.37
Dalmarnock,40621,1.9,1.8
Calton,26273,2.24,1.58
Mile End,40171,2.05,1.73
Dennistoun,26944,2.87,1.16
Provan,24235,3.32,1.22
Cowlairs,27998,2.11,1.59
Springburn,35649,3.01,1.4
Townhead,35005,2.28,1.51
Exchange,20089,2.67,1.35
Anderston,31902,2.41,1.5
Park,23758,3.94,0.89
Cowcaddens,27229,2.08,1.72
Woodside,26946,2.25,1.51
Ruchill,45929,2.89,1.46
North Kelvin,25817,2.52,1.26
Maryhill,25515,2.52,1.42
Kelvinside,21032,4.16,0.68
Partick East,23376,3.74,0.85
Partick West,26814,2.45,1.29
Whiteinch,23241,3.12,1.09
Yoker,30198,3.34,1.15
Knightswood,17530,3.45,1.16
Hutchesontown,30965,1.81,1.82
Gorbals,36648,2.36,1.66
Kingston,26895,2.34,1.56
Kinning Park,28124,2.43,1.41
Govan,35152,2.37,1.62
Fairfield,25132,2.55,1.38
Craigton,40448,3.88,0.98
Pollokshields,39956,4.41,0.98
Camphill,22529,3.44,0.84
Pollokshaws,39717,3.43,1.3
Govanhill,26377,2.56,1.22
Langside,25578,3.9,0.8
Cathcart,21787,4.01,0.78
