Occupation,M,F
Total Population ,369523,419136
Pop aged 15 & over ,265687,318642
I-XXVII Occupied ,236994,126857
XXVIII Retired & unocc. ,28693,191785
Employers ,3111,652
Managers ,8454,2404
Operatives ,204651,117026
Working on own account ,8182,2839
Out of Work ,12596,3936
I. FISHERMEN ,20,0
"II. AGRICULTURAL, ETC OCCUPATIONS ",1782,119
1. Agricultural and horticultural occupations ,1731,118
    Farmers ,177,15
"    Market gardeners, etc. and foremen ",109,11
    Other gardeners ,959,9
    Other agricultural workers ,486,83
2. Occupations ancillary to agriculture ,42,1
"    Agricultural machine owners, drivers ",36,0
3. Foresters and woodmen ,9,0
III. MINING & QUARRYING OCCUPATIONS ,811,3
1. In coal mines ,783,2
    Subordinate superintending staff ,8,0
    Workers below ground: Coal cutting etc machine men ,32,0
    Workers below ground: Hewers & getters (by hand) ,350,0
    Workers below ground: Conveying material to the shaft ,177,0
    Workers below ground: Developing workings in rock ,45,0
    Workers below ground: Repairing & maintaining roads ,61,0
    Other workers below ground ,69,0
    Workers above ground in coal mines ,41,2
"2. In other mines, quarries, brine pits ",28,1
    Underground workers in mines ,0,0
"    Getters in open quarries, pits, etc ",15,0
"IV. WORKERS IN CERAMICS, GLASS, CEMENT, ETC. ",609,107
"1. Makers of bricks, pottery, etc ",36,1
"    Brick, etc, moulders, etc ",10,1
"    Potters, pottery makers and casters ",1,0
    Pottery finishers and decorators ,2,0
"    Kiln and oven men, setters and placers ",8,0
2. Makers of glass and glass ware ,415,91
3. Makers of other mining products (not metal) ,158,15
"V. COAL GAS, ETC. MAKERS, WORKERS IN CHEMICALS ",2180,288
"1. Workers in coal, gas and coke ",133,0
2. Workers in chemical and allied trades ,2047,288
"VI. WORKERS IN METAL MANUFACTURE, ENGINEERING ",33200,3801
"1. Foremen, overlookers ",1385,111
"    Fitting, Erecting ",340,2
    Electrical work ,314,48
2. Furnacemen (not annealing or foundry) ,84,1
"3. Rolling and tube mill workers, wire drawers ",75,3
    Rollers and their assistants ,16,1
4. Foundry workers (excluding pattern makers) ,674,33
    Iron or steel moulders and core makers ,246,3
    Non-ferrous moulders and core makers ,115,10
    Other ferrous foundry workers ,244,14
"5. Smiths, forgemen ",642,6
    Blacksmiths ,615,0
"6. Annealers, hardeners, temperers, picklers ",47,5
"7. Sheet metal workers, metal spinners, etc. ",1472,52
"8. Platers, riveters, shipwrights ",2062,24
    Platers ,822,0
    Platers' labourers ,463,0
"    Riveters, caulkers ",115,23
    Shipwrights ,607,1
9. Metal machinists ,2124,294
    Press tool setters ,140,3
    Turners ,604,16
    Drillers (hand or machine) ,329,216
"    Machine setters, setter-operators ",1047,59
"10. Fitters, machine erectors ",11053,54
"    Precision fitters, tool makers, etc. ",2499,7
"    Machine erectors, maintenance engineers ",3782,18
    Motor and motor cycle mechanics ,1823,4
"    Fitters, fitter assemblers ",1071,14
"    Machine erectors', fitters', etc. mates ",1870,4
11. Metal finishers ,383,132
"    Glazers, polishers, buffers and moppers ",170,72
"12. Plumbers, pipe fitters, etc. ",2649,2
    Plumbers (not chemical plumbers) ,1795,0
    Plumbers' labourers ,280,0
    Gas fitters ,142,2
    Pipe fitters ,422,0
13. Vehicle makers and repairers (n.e.s) ,264,0
"14. Watch, clock, instrument makers (n.e.s.) ",740,167
"    Scientific instrument makers, repairers ",518,132
"    Watch, etc. makers and repairers ",194,19
"15. Workers in precious metals, gem setters ",29,22
"16. Electrical apparatus makers, etc. (n.e.s.) ",5967,601
    Radio and radar mechanics ,267,8
    Others in electrical communications ,1173,80
