Ward,Persons,M,F,ppa,HH,popInHH,Dwellings,rooms,ppr,pctOvercr
Abercromby,22264,10252,12012,83.1,6726,20489,4577,18811,1.09,17
Aigburth,19656,8725,10933,17.5,6345,19329,6092,33634,0.57,0.4
Allerton,12851,5735,7116,8.1,3909,12628,3809,20583,0.62,0.4
Anfield,23365,10551,12814,43.6,6560,21642,6091,30455,0.72,1.9
Breckfield,19137,8907,10230,109.4,5615,19137,4605,24472,0.75,3.7
Brunswick,13367,6439,6928,56.2,3107,12789,2721,10546,1.18,17.2
Castle street,124,69,55,1.6,42,119,42,160,0.74,0
Childwall,18444,8334,10110,14.4,5646,17949,5562,28731,0.62,0.1
Croxteth,53662,25609,28073,15.1,12966,53636,12694,56909,0.96,5.3
Dingle,28770,13793,14977,76.5,7700,28471,7194,31043,0.92,8.3
Edge Hill,22508,10676,11832,90.8,6036,22506,5666,24193,0.93,6.5
Everton,22060,10617,11443,105,5585,21134,4774,21740,0.97,11.7
Exchange,1727,868,859,21.1,423,1572,408,1293,1.22,20.6
Fairfield,22294,10245,12049,44.1,6889,21988,5270,28204,0.78,4.1
Fazakerley,29930,14237,15693,17.5,7380,28851,6980,32728,0.88,4.9
Garston,33116,16089,17027,10.7,8409,32858,8150,35324,0.98,3.3
Granby,19613,9114,10499,106,5916,19283,4975,22616,0.86,6.7
Great George,5521,2868,2653,23.4,1249,4227,1038,4363,0.93,13.2
Kensington,20985,9874,11111,83.3,6246,20919,5625,26434,0.79,2.6
Kirkdale,30611,14745,15866,96.6,7744,29186,6783,33538,0.87,6.5
Little Woolton,5076,2284,2792,3.7,1338,4578,1334,6393,0.72,0.2
Low Hill,18452,8581,9871,105.4,5250,18243,4540,21893,0.84,6
Much Woolton,9152,4234,4918,11.6,2780,8992,2713,13021,0.69,1.5
Netherfield,17246,8142,9104,133.7,4408,17030,3872,16872,1.01,10.7
North Scotland,12542,6045,6497,44.5,3019,12368,2845,10308,1.2,19.7
Old Swan,39520,18187,21333,34.7,10960,37503,10066,49898,0.75,2.7
Prince's Park,18105,8345,9760,69.9,5394,17849,4259,20509,0.87,6.1
St.Anne's,9082,4479,4603,42.6,2090,8454,1866,6767,1.25,25.2
St.Domingo,21082,10062,11020,117.8,5786,21044,5127,24249,0.87,4.7
St.Peter's,2327,1292,1035,10.3,541,1936,459,1785,1.08,12.9
Sandhills,15214,7698,7516,24.9,3535,14289,3190,14591,0.98,8.7
Sefton Park East,19893,8764,11129,40.6,6090,18529,4979,26599,0.7,3.3
Sefton Park West,13736,6000,7736,16.4,4498,12990,3980,18869,0.69,1.8
South Scotland,11389,5325,6064,47.9,2879,11225,2792,8985,1.25,20.6
Vauxhall,4883,2411,2472,20,1012,4213,964,3407,1.24,23.6
Walton,32700,15247,17453,48.2,9246,32640,8522,41350,0.79,3.1
Warbreck,27984,13271,14713,40.5,7656,25371,6930,35604,0.71,2
Wavertree,30115,13511,16604,28,9235,29098,8418,44181,0.66,1.8
Wavertree West,16872,7868,9004,54.8,4986,16866,4537,22158,0.76,2.2
West Derby,43262,20030,23232,32.6,12469,43127,11332,58910,0.73,2.1
